Ref,Val,Package,PosX,PosY,Rot,Side
"C29","NC","1206",-45.375000,-19.850000,180.000000,bottom
"C30","NC","1206",-45.375000,-27.400000,180.000000,bottom
"C31","NC","1206",-45.375000,-34.850000,180.000000,bottom
